,forecast_date,region_code,warehouse,timeframe,mafe_exp1,mafe_exp2,mafe_exp3,mafe_exp4,mafe_exp5,mafe_exp6,mafe_exp7,mafe_exp8
0,2022-08-17,SPO,STA,14,32.6973783696424,34.7996970122375,35.5229775843189,34.3901635680779,32.3971272718618,33.939712270709,34.3677392103601,35.5038916443803
1,2022-08-05,SPO,STA,4,33.4203709364632,31.5616598007676,31.6186908479674,32.7689306300113,32.0205146403091,32.5584530635083,32.7633385372474,31.6175401284075
2,2022-08-24,SPO,STA,20,34.6581626074161,33.8676450946474,34.5888579827885,34.5943768598185,32.340539974216,34.6239664025275,34.622539062223,34.5749125387366
3,2022-08-15,SPO,STA,12,40.2021144379226,39.8041839576015,40.0872932729469,41.9637510128143,39.920363583771,41.6288661436281,42.0139842037336,40.0581196585483
4,2022-08-19,SPO,STA,16,30.3131789356024,30.6045008193085,30.9452868435906,30.9314154709858,29.1140609647772,31.0661661446855,30.8949859755547,30.9133090546974
5,2022-08-13,SPO,STA,11,31.4303935188423,31.4873893782046,31.9231318775925,32.8053637568515,30.9434637389904,32.4276176502701,32.7965380181435,31.8914391909401
6,2022-08-31,SPO,STA,26,44.3667389267273,44.9428457572892,44.8964599847513,46.9611156060173,43.2042747738522,47.4822815799797,46.9984275328585,44.8744206669697
7,2022-08-04,SPO,STA,3,28.5221495155949,29.2335531324093,29.7256673496422,29.8369807756119,28.3902257658201,29.5440250874214,29.8182157486572,29.7151363673807
8,2022-08-20,SPO,STA,17,32.7693376834363,31.6134058956485,31.5925510194735,31.4754277647759,34.2404599573727,31.487654282028,31.4923273933594,31.5979698881545
9,2022-08-27,SPO,STA,23,43.9955416117511,46.341859787358,45.9273831526579,45.7682333484821,42.477237273126,45.8667271919082,45.7671903323277,45.9573085498878
10,2022-08-18,SPO,STA,15,30.5276533431827,30.6396507071894,31.2769920226651,30.5904715621364,29.6450145897156,30.9177453096939,30.5759062855142,31.2640806214028
11,2022-08-03,SPO,STA,2,28.2186732228456,28.0309566580584,28.3109130921914,29.0813763075018,27.9074358065612,28.4534556089571,29.0736602273795,28.3158575800285
12,2022-08-23,SPO,STA,19,38.5389416235753,39.3711756789243,39.0849802240632,39.4628574165173,37.2347085008956,39.9451640645739,39.4653798254665,39.0539331586715
13,2022-08-02,SPO,STA,1,27.1943329734935,29.8274865482966,30.1109608370586,27.297423766809,30.0138130545922,27.009226839719,27.2850892201357,30.1177868655855
14,2022-08-30,SPO,STA,25,44.0554384780416,45.7684049651772,45.0535899945399,45.8994624184093,43.027724109503,46.4801693471019,45.8926887126358,45.0183675120351
15,2022-08-29,SPO,STA,24,47.2882702915522,50.6268900684139,49.732751772679,49.7939392168297,47.5885062917612,50.1464369080277,49.7940512607283,49.7419323074076
16,2022-09-01,SPO,STA,27,44.3525017332759,44.2055041350121,43.2932596140262,46.7115143565043,42.4645664291247,47.6463051955868,46.7232174291143,43.3360816884603
17,2022-08-11,SPO,STA,9,32.0271530457484,30.4609114977782,31.1050105550814,32.738141141542,30.1842576001206,33.0224014152077,32.7330193078176,31.1155303515485
18,2022-08-10,SPO,STA,8,35.0954061113935,36.5036194361655,36.9805092656886,36.4417545347248,34.5104842786011,36.1472526215888,36.4233138457669,36.9527279557436
19,2022-09-02,SPO,STA,28,38.9809467630285,40.2686972157067,40.0589179690553,42.3870236936146,39.6845441944755,43.0583264020296,42.3834512415493,40.0622708675591
20,2022-08-08,SPO,STA,6,30.205816292987,31.2846613481957,31.79967705659,31.3495700146098,29.9244524341505,30.8554995697237,31.3545933651269,31.7867012627589
21,2022-08-16,SPO,STA,13,27.3461461698311,28.871760281132,29.7925365461057,29.1726563037022,26.7537158084567,28.8215481530489,29.1584525409547,29.8203146623969
22,2022-08-12,SPO,STA,10,30.8723587485659,28.7580240085192,29.0195769733699,31.7253022244627,27.5685082403393,31.7525907218064,31.7303944507427,28.9917245991348
23,2022-08-09,SPO,STA,7,24.3078922575011,26.2685676281663,26.8451517945038,25.3797713878395,25.0683439122582,25.073330235483,25.3482157253393,26.8419536490365
24,2022-08-26,SPO,STA,22,39.7462413071859,40.5135209343847,40.5633503336342,41.1864353458768,37.2953861306018,41.3318137675766,41.1922587009361,40.5558567144121
25,2022-08-06,SPO,STA,5,36.9730460074842,34.9131095771164,34.1295330656601,34.6457384546608,36.0853211630666,35.6505902208157,34.6524989607377,34.1321597248707
26,2022-08-22,SPO,STA,18,39.034862864856,36.6764520282447,37.3593915546451,37.2587893481025,38.6648916352361,37.1743758346307,37.2815666367445,37.3038347111748
27,2022-09-03,SPO,STA,29,42.5081643974466,44.9043124719819,45.3925762416681,46.5131031531149,42.3850548664859,46.5829229000526,46.5154272651896,45.3962164208207
28,2022-08-25,SPO,STA,21,32.8762050982012,32.9152734390024,33.0524471019513,34.1032074663017,30.2613257584319,34.2228271563171,34.098100500517,33.0132489887894
29,2022-09-05,SPO,STA,30,49.2249205217915,52.761983471848,52.2354408681611,53.4423604561643,50.8155364014529,53.640861472776,53.4467388574448,52.2516339696024
0,2022-08-20,SPO,STA,14,43.126199345843,40.3186346819206,39.9746897631088,39.9691290051216,43.0406134768555,41.2114637756455,39.950133558468,39.981781513309
1,2022-09-02,SPO,STA,25,38.6827704259534,39.7365795973114,39.7876918760364,40.4714202074185,39.0026614055447,41.5073837984683,40.458401945775,39.7743243380118
2,2022-09-05,SPO,STA,27,48.4318201157149,52.8227649501621,52.6245088413329,52.2795516538287,48.1995346130152,53.1909783202853,52.2616813938613,52.6350244510832
3,2022-08-18,SPO,STA,12,26.0407291201159,27.5155769117874,27.5259575696644,27.1945832478104,26.2210753344219,27.7415214347943,27.1824466732017,27.5222563296376
4,2022-08-16,SPO,STA,10,24.1517331904119,26.4558953498537,26.8258185045739,25.7944901393499,24.5986629529637,25.6387100921572,25.7890785115926,26.8303184084888
5,2022-08-09,SPO,STA,4,23.9200498663907,24.6793857183106,24.3549715301738,23.0322065227845,25.446936727986,23.6218261838416,23.0403820359439,24.3260503793457
6,2022-09-06,SPO,STA,28,44.344046855902,48.5500619232104,48.5111073485099,46.9298356899549,45.9905503458719,48.0047984772111,46.9414153699113,48.4988183752431
7,2022-08-11,SPO,STA,6,31.708203076904,27.6552931810602,27.4145891853607,27.9856091714585,30.8398933078221,28.855953741139,27.9762711018712,27.4131812390341
8,2022-08-27,SPO,STA,20,44.8876755449983,45.7906086338135,45.4116094681689,47.1379240266444,43.224488239575,48.2294194999671,47.1382198788614,45.4187029849515
9,2022-08-30,SPO,STA,22,41.4457426356146,44.4931180942283,43.9801129289697,42.5108116015798,42.7331263235129,43.2808134471964,42.5253773199597,43.9595634052997
10,2022-08-22,SPO,STA,15,45.7468853916407,42.7541941306996,42.7321599358579,43.0622369816143,45.4004876495731,43.9956076572531,43.0547186588641,42.7685078367534
11,2022-08-10,SPO,STA,5,27.3449843238736,30.0506855458381,30.3309500304199,28.6792539699207,28.0605023808887,28.3656110861291,28.6688737728803,30.3242958442636
12,2022-09-01,SPO,STA,24,46.3202499475584,43.7638647815678,43.0095533091514,45.167316072555,44.661373080351,46.5417415794056,45.148921239374,43.0098284338592
13,2022-08-24,SPO,STA,17,37.051140072484,35.065982378224,34.9527021285522,36.3349962828525,35.7080216824105,37.3971656532193,36.3320551454664,34.9405180480467
14,2022-08-13,SPO,STA,8,32.0385729740263,29.6630055861938,29.2644313006929,29.9621214428578,31.5626268206566,30.1329452033737,29.966086922,29.2663568648907
15,2022-08-08,SPO,STA,3,33.9133825081993,34.2471018258704,33.6030351337014,33.2047154072851,34.4490422471127,33.4409058367579,33.2024772084179,33.6225488631271
16,2022-08-15,SPO,STA,9,43.5216214877152,42.9351356419395,41.8022378664195,40.7483359202798,44.9079262135445,41.3947625099676,40.7569463374582,41.8086443031052
17,2022-08-23,SPO,STA,16,36.5563447720401,37.4925708801968,36.8848531226312,35.4277007295192,38.3263353172534,36.8286580664822,35.4275918065505,36.8706841140908
18,2022-08-19,SPO,STA,13,30.775384769959,28.586924786313,28.4869349723308,29.5881371406984,29.9116479935515,30.2217980405069,29.5684760651195,28.4796227448934
19,2022-09-07,SPO,STA,29,85.3299210914676,84.5686044717851,81.6530652052199,82.3590204493958,86.1875437608645,85.8751646314634,82.3805807316796,81.6576992494745
20,2022-08-12,SPO,STA,7,28.6506284724627,26.5179825843472,26.681461825148,29.3219771774247,25.1473326498223,29.1238735958253,29.3299715192708,26.7113152868601
21,2022-08-05,SPO,STA,1,33.5206371827706,32.4066261617825,32.5050240976295,31.8315688126438,32.9828148897671,31.8675443773617,31.832035689886,32.5225008946182
22,2022-08-25,SPO,STA,18,39.3024250763547,35.1112613470594,34.4893318140041,36.1565236274677,37.797845734434,37.0665834368584,36.1483459333202,34.4898750092962
23,2022-08-29,SPO,STA,21,44.6808309647585,48.1088492524356,47.7977231941956,46.7915967278073,44.8973667780831,47.9353624931701,46.7822702102555,47.8040914972968
24,2022-09-03,SPO,STA,26,44.301505433365,49.1730977216627,48.6659194010509,46.78617600614,45.7613057314797,48.17861275836,46.7646855310219,48.6682439814939
25,2022-08-26,SPO,STA,19,39.0973291783345,39.2342746028717,38.7732523205382,38.9636857760288,37.5121396480189,39.887835462819,38.9644311841669,38.7856875280822
26,2022-08-31,SPO,STA,23,46.2481634582019,45.1693310142784,45.009069956875,45.8385710671857,44.1666377403211,47.2463479774542,45.8330492273272,45.0048076623613
27,2022-08-06,SPO,STA,2,38.5877412759688,35.3605523183072,34.8955802262702,36.0038483125328,37.2266832069268,36.4589195007815,36.0349907538009,34.8790710789653
28,2022-09-08,SPO,STA,30,52.9432800704651,55.252931640094,54.9949817900741,55.6186160783736,53.5572308281597,57.5746338677941,55.6287371170979,55.008538690693
29,2022-08-17,SPO,STA,11,28.1743547738913,29.9262024772735,30.0525789572041,29.7643901811676,28.3572003892543,29.6334892744597,29.7420686250828,30.0459892215767
0,2022-08-27,SPO,STA,18,43.0758943105914,42.8396181286757,43.181205960076,45.318960538918,41.0254458590656,45.5361589429526,45.3378169963673,43.1845924001085
