,forecast_date,region_code,warehouse,timeframe,mafe_exp1,mafe_exp2,mafe_exp3,mafe_exp4,mafe_exp5,mafe_exp6,mafe_exp7,mafe_exp8
0,2022-08-02,SPO,STA,1,15.27814334735,22.3585419436616,22.2804876972758,14.2003578092097,23.0014928027604,14.4457433884038,14.1866765000361,22.2980436363099
1,2022-08-23,SPO,STA,19,20.0155639257485,23.7526558406596,23.1846737276899,18.7344477405084,23.7005800555892,19.5645127680275,18.749675235995,23.2012594681607
2,2022-08-04,SPO,STA,3,12.731047220096,12.8493880488033,12.9382390647999,12.4500440910327,13.3184954160423,12.283945574745,12.4419849986723,12.9305843773536
3,2022-08-31,SPO,STA,26,20.7525176137071,19.2557702989595,18.4817939952981,18.5639410955466,20.348440085852,19.3503916927625,18.5678208593579,18.485196751329
4,2022-08-19,SPO,STA,16,22.181688472267,20.6551726174775,20.2781094246945,20.2237861651248,21.9201618995937,20.9218559476902,20.2125133401969,20.2636058109838
5,2022-08-13,SPO,STA,11,21.164118825665,20.538658181081,21.6206596661403,21.5792770261086,20.8104953066688,20.5207794136163,21.580268839259,21.6317230221317
6,2022-08-03,SPO,STA,2,13.3449349662004,14.1274400098451,14.488650118204,13.3885749189774,14.2869129336194,13.0775325761369,13.3926218570339,14.4911881860519
7,2022-08-18,SPO,STA,15,17.5780857046287,16.0796567431781,15.5826634814528,15.8720019364737,16.9856554019201,16.6450116313832,15.8674736902714,15.5851514702332
8,2022-08-27,SPO,STA,23,22.7743150365646,22.2173202406481,21.3036236544913,21.2464637554603,22.7811529139053,22.1826022528494,21.2509184336176,21.3054718894477
9,2022-08-30,SPO,STA,25,23.7014146942696,28.9913521112627,28.3188203710302,21.9974185627972,29.4773459474155,22.9081540093621,22.0090397365703,28.3019734205477
10,2022-08-29,SPO,STA,24,23.3182470159609,23.3217969268131,22.3748391775563,21.9603707863846,23.5607174435971,22.9515539522384,21.9614272865319,22.3990021624116
11,2022-08-10,SPO,STA,8,19.098370950619,19.2603661653399,19.127224693496,18.8229178338669,19.3222773939475,19.0784763835217,18.823682145324,19.1321181099186
12,2022-09-02,SPO,STA,28,18.2913036755926,17.4785511533655,16.6299494956876,15.4542072387566,18.797045130548,16.8682097744127,15.4491546857815,16.6094488452147
13,2022-08-11,SPO,STA,9,32.2771236444672,30.84298695855,30.052076440623,30.6471327836576,31.6212825589486,31.4770488791233,30.6315245578554,30.0514205969005
14,2022-08-08,SPO,STA,6,15.665278275587,15.4264782606468,16.1836520199553,16.5084218766495,15.1078734033118,16.0318602576428,16.5017150927296,16.2071267498436
15,2022-09-01,SPO,STA,27,27.350492529776,24.9158553516074,23.4417793028647,23.9276436882414,26.9608352932684,25.479018333733,23.9213711794645,23.4484191871725
16,2022-08-26,SPO,STA,22,21.5372551767733,20.6096670907997,19.8074699609255,20.4896249059623,20.9551910655626,21.2178397110641,20.4916120218669,19.8012010070912
17,2022-08-22,SPO,STA,18,27.8425065279415,26.7039821523601,25.6502895584544,26.4470589734738,27.1391405794268,27.665419392554,26.4544313477782,25.6691836466842
18,2022-08-06,SPO,STA,5,19.2375403072499,17.5107944839215,16.7483102530835,17.367518329562,18.5589910942541,18.4814240601626,17.3729804317171,16.748424744267
19,2022-08-09,SPO,STA,7,12.9826837541432,17.8604080932291,18.6259177882002,13.1655512266571,17.757420498757,13.0767127463922,13.1715088092268,18.6103471942687
20,2022-08-12,SPO,STA,10,27.2759148391775,23.6535433361891,23.1443206121977,25.2854956086614,24.653923579916,26.0547885912615,25.2765998307306,23.1301890274998
21,2022-09-03,SPO,STA,29,15.0773227768755,15.494668094772,17.1136661568509,16.4147045861572,15.2406660782563,15.1222940193659,16.4105230058328,17.1094845765266
22,2022-08-15,SPO,STA,12,27.8818299907103,25.4504426401408,24.3862803876434,25.8642786051239,26.4732440212871,27.0631767368446,25.8718575788655,24.3649976248849
23,2022-08-20,SPO,STA,17,25.7075685723171,25.127958666872,23.9745526966378,23.5851922270985,25.6143815124469,25.1091508391119,23.5806022905463,23.9699627600856
24,2022-08-16,SPO,STA,13,14.0615605644733,18.4824854193149,19.5609737228454,15.340146246153,17.514042780656,14.6388540970997,15.3510578158241,19.5525861420354
25,2022-09-05,SPO,STA,30,21.0148140701525,22.3562256678692,21.8472805158467,21.0941124339813,21.5588196138508,21.7403340379135,21.0962751234794,21.86127523265
26,2022-08-25,SPO,STA,21,20.5205467124007,18.2807270547381,17.1205837791162,18.2872521982761,19.5481230489781,19.4630693665618,18.2946633124857,17.1299903530424
27,2022-08-05,SPO,STA,4,15.0515421471241,17.1019108115296,18.8082620586345,17.3209017704104,15.926979752228,15.9986337992658,17.3156067094443,18.8140055467374
28,2022-08-17,SPO,STA,14,16.1842633586769,16.3561131790041,17.3314063916583,17.0533220287011,16.4594995116781,16.1111433811576,17.0537690976303,17.336661810669
29,2022-08-24,SPO,STA,20,23.7732274289235,21.5148277921155,20.0613647883103,21.1841865928055,22.5957094438508,22.6337337167844,21.1787816606787,20.0577608641419
0,2022-08-24,SPO,STA,17,24.5476391070713,21.599881801517,20.7420705569972,22.4016322820765,22.9345585748927,23.6803603823169,22.391955280051,20.7393680909338
1,2022-08-29,SPO,STA,21,20.3508465074215,21.1786328885142,21.3077014077352,19.9854845303605,21.520500271147,20.2416061574663,19.9831453873788,21.325289258558
2,2022-08-08,SPO,STA,3,17.0074786267183,16.6065751959438,16.456986329694,18.1680289961567,14.812873027828,17.7918045417724,18.1654206928357,16.4826237187115
3,2022-08-15,SPO,STA,9,28.2381442678767,25.1888517407908,24.6324117108195,26.2768032276266,26.3401756114738,27.1035936102786,26.2751398191552,24.6121884239231
4,2022-09-05,SPO,STA,27,19.8147206014682,20.6592810270445,21.7263242167059,21.5709444738186,19.2372497545875,21.0472848536982,21.5646355735447,21.7423574589359
5,2022-08-18,SPO,STA,12,17.0700759422126,15.5974426948872,15.2148464664715,15.6638458089669,15.7955396893234,16.4440560450588,15.6555363313786,15.2163716361297
6,2022-09-02,SPO,STA,25,17.0135777464536,16.3120893317389,16.0806235721324,15.2327282664492,17.0044948546836,16.1059542142212,15.2226698409546,16.0692146365194
7,2022-08-20,SPO,STA,14,24.9063130280908,23.6895918258509,22.9010047270486,23.3208268512925,23.9955293504427,24.4758133552319,23.3142439440652,22.9104140753197
8,2022-08-06,SPO,STA,2,19.9111239480598,18.2027436939389,17.5508564993099,18.0819972700462,19.1262155680896,19.1140165929352,18.0874593722014,17.5647053663146
9,2022-09-08,SPO,STA,30,33.3447234749316,30.6168870908993,29.3326237099797,31.1474047375106,32.0006113856101,32.4621348572346,31.1486575793387,29.3436093590531
10,2022-08-17,SPO,STA,11,15.9584038343544,15.0130466654142,15.886420291655,15.7980539174551,15.7880272858763,15.7490658793243,15.7999478477459,15.8842710541268
11,2022-08-10,SPO,STA,5,17.8754560727907,17.6402958371298,18.4486826940298,17.5363330028669,17.8811383914747,17.6066779184031,17.5352214399739,18.4541039204109
12,2022-09-01,SPO,STA,24,27.3136090448153,25.1126533897311,24.4042721992553,24.7391400262924,25.9129098410247,26.1083613540183,24.7308026548247,24.4038295016465
13,2022-08-19,SPO,STA,13,20.2808869351384,19.2159570484804,19.7599066034782,18.917335498674,19.9575868701453,19.1204638632219,18.9028740347221,19.7534794917085
14,2022-09-03,SPO,STA,26,15.379585284607,15.9211000399132,16.5141668427219,15.7330564856716,15.0188377871092,15.4438849943978,15.7331402529827,16.5210144832419
15,2022-08-26,SPO,STA,19,20.7934410840804,19.4320075741238,19.3381903788382,19.9204427577613,19.5260760485341,20.4335694943454,19.9160909149821,19.3336598690122
16,2022-08-23,SPO,STA,16,19.2454812695546,22.9073038464816,22.8621529024245,18.1190430944001,23.2675226132551,18.8488001464139,18.1294370698906,22.8596777129052
17,2022-08-30,SPO,STA,22,23.5131842202642,28.3293722346592,28.420287258853,22.3539698968234,29.0471327404777,23.0108668212909,22.3630005980012,28.4096347856918
18,2022-08-11,SPO,STA,6,32.3071580357655,30.8912931761419,30.3588158444201,31.0574596649312,31.4556850612499,31.6748564361843,31.0481603304934,30.3559749877287
19,2022-08-22,SPO,STA,15,25.2085767988555,24.1654051463776,24.435873336215,24.6511335673446,24.7012741575964,24.9288694922615,24.6488712481167,24.4517499008847
20,2022-08-16,SPO,STA,10,16.1916782970608,20.979514753923,22.0232912419938,16.2790113092379,20.0812110806108,16.1149507011352,16.2884990388496,22.0112741943766
21,2022-09-07,SPO,STA,29,93.7999724438329,87.8876249892088,83.2984142254562,89.2783280805074,89.3726414453653,92.3729363813184,89.274488471312,83.2987760215448
22,2022-08-09,SPO,STA,4,12.8847867820925,18.5891207449278,19.5832547431423,12.961578642499,17.6009410226948,12.8955124095997,12.9651473094091,19.5761954831638
23,2022-09-06,SPO,STA,28,19.2326993434842,20.7390826483184,21.0633917977932,17.7808607253655,20.770115557442,18.4949578537264,17.7906887074312,21.0507182885435
24,2022-08-13,SPO,STA,8,21.2481180543747,20.8092308879837,21.910699724485,21.518399263616,20.8186725023102,20.9597671731706,21.5270250535072,21.9235333197999
25,2022-08-27,SPO,STA,20,22.8817551945324,21.1990487027659,20.6252873199937,21.517702704328,20.9226008680479,22.3124415865704,21.518138416847,20.6361939159902
26,2022-08-05,SPO,STA,1,15.6954015791195,18.0845067736921,19.7720633930754,17.4021660889681,17.0586231528345,16.3255611831733,17.4026636477494,19.7838746633554
27,2022-08-25,SPO,STA,18,19.5444700916827,17.5095540175226,16.6068935247339,18.1746209131652,18.5693444323153,19.0918115141642,18.1776477725835,16.6094454724656
28,2022-08-31,SPO,STA,23,19.7773933416442,18.4694935471936,18.5378100781472,18.340600647192,18.9045472166976,18.9097577840557,18.3424938365048,18.5382870859275
29,2022-08-12,SPO,STA,7,27.2652476356868,23.321309981708,23.2862016199364,25.6835983151731,23.7370400596941,26.3599443112012,25.6731096583135,23.2752813580844
0,2022-08-29,SPO,STA,19,19.5017282388979,19.4876152421174,20.1464356435905,19.7792966965952,19.6581639826739,19.5265380869555,19.7822156483695,20.1593796048918
1,2022-08-24,SPO,STA,15,23.1422449406501,21.553200513356,20.5894499418926,21.0573909671726,22.6345070168672,22.1905995601096,21.0587823299313,20.591250949851
2,2022-08-22,SPO,STA,13,24.4542944267209,24.3164090151475,24.5264456938515,24.0492319969705,24.9022878441917,24.0604807061865,24.0517516392085,24.5375402970555
3,2022-08-31,SPO,STA,21,19.1547789312367,18.3056855215212,18.4851448493524,17.9467233328866,18.5069903873134,18.3127531779395,17.9486632147922,18.4954305400335
4,2022-08-08,SPO,STA,1,15.6600747319421,16.0090669412746,16.6892935327246,17.0948847007833,14.9406172467719,16.2287836922876,17.0881779168634,16.7056665908201
5,2022-09-03,SPO,STA,24,16.6207676616029,17.1741706883257,18.3027582277296,18.3277999297955,16.1957581139725,17.2670152667334,18.3257091396334,18.3022936908625
6,2022-08-23,SPO,STA,14,17.9798670867453,22.464149171569,22.46031357683,16.8797089350695,22.855740712165,17.4868812706381,16.8932041013077,22.4572123860824
7,2022-08-11,SPO,STA,4,29.6697827611521,28.8495064999489,28.3498530129375,28.733012059594,29.6781183443515,29.0594487817481,28.7368080161283,28.3414556697646
8,2022-08-30,SPO,STA,20,22.0923573949525,27.9522974880356,27.9051741371158,21.2004474417851,28.6365325232459,21.6713195355597,21.2109832598259,27.8905427296169
9,2022-08-20,SPO,STA,12,21.5886040432662,21.2346864660526,20.8046817736791,20.2018312946032,22.1054021653635,20.792239271077,20.195248387376,20.813877965388
10,2022-09-06,SPO,STA,26,17.6589509812575,20.6293247218163,21.1770488807319,16.8345115188879,20.5458765056403,16.969364440536,16.8444646940438,21.164935756064
11,2022-08-27,SPO,STA,18,18.2413258269436,17.8556295086415,18.1154811423827,18.2174569825771,18.0156747060914,17.8304609944786,18.2196843216557,18.1198782956908
12,2022-08-25,SPO,STA,16,17.6374619374038,17.1733060755664,16.7226652736328,17.0697730204348,17.7046604157835,17.4128730416678,17.0765993057369,16.7273685605958
13,2022-09-07,SPO,STA,27,89.9880605629697,85.9715338330061,81.5994950826347,85.6769185488607,87.0533568552906,88.4395211906244,85.6730789396654,81.5966637661766
14,2022-09-09,SPO,STA,29,18.3434513396051,19.8684527326138,20.3084124072687,18.1954922431039,20.0062581813841,18.1503687506055,18.195144717983,20.3053554014032
15,2022-08-17,SPO,STA,9,14.5407384207014,14.9436687261159,16.1790300402149,15.0385743168547,15.658847488195,14.5063025899465,15.0404682471454,16.1819651570734
16,2022-08-15,SPO,STA,7,24.5725956977022,22.4987464827132,22.2991005026517,22.9076539972715,23.8812602342028,23.336143783533,22.9181907536482,22.2807755225283
17,2022-08-12,SPO,STA,5,24.7451730249558,21.5461869063298,21.5690538815654,23.5491980987203,22.3489474025319,23.9543359974682,23.5387094418607,21.5585652247058
18,2022-09-01,SPO,STA,22,23.8907143679048,22.4360022369799,21.5946234951009,21.9201125267901,23.7709253328194,22.7688831878188,21.9180216905312,21.5985578452463
19,2022-09-02,SPO,STA,23,16.7412301859651,17.2041519350583,17.1150813262832,16.1893503893418,17.3121783981933,16.6613318310806,16.1810532709296,17.0982557211868
20,2022-08-10,SPO,STA,3,16.2015183686067,16.5584790485166,17.6007948377668,16.2443917391799,17.1602208237967,15.9684297420584,16.2443917391799,17.6088331502546
21,2022-09-10,SPO,STA,30,15.8979099758828,16.7154499038321,16.7258022128664,16.5547539865132,16.2052726258769,16.4449529842456,16.5523291947612,16.7234178778834
22,2022-08-26,SPO,STA,17,19.4885425326676,19.1068802280626,18.9625555024241,18.9270636006507,19.2282363715213,19.2894441523013,18.9272882780911,18.9534698506362
23,2022-09-08,SPO,STA,28,30.9716242013159,29.7466129810897,28.3605584087653,29.0636860458923,30.886109759978,30.2739533287741,29.0665158033065,28.3667869207375
24,2022-08-13,SPO,STA,6,17.6138173717442,17.9179029836624,19.0590226964805,18.7823833138284,17.4982061415762,17.7634797011952,18.7847877145888,19.0656942684195
25,2022-08-09,SPO,STA,2,12.2404747528625,18.8513812073273,19.8566210809188,12.6234957538989,18.1009641300874,12.3970996873687,12.6311785427485,19.8473620891304
26,2022-08-16,SPO,STA,8,14.5083171105345,20.2480203892526,21.1804694905266,14.7629555603697,19.2039574941506,14.4490098294899,14.7751104778549,21.1651519965041
27,2022-08-18,SPO,STA,10,15.4379281150755,14.6686730993272,14.1067570261581,14.4993379646808,15.6086491260974,15.1232302526139,14.5010949827596,14.1086516725378
28,2022-09-05,SPO,STA,25,20.1154439955424,21.4621888780108,22.3264329219595,22.0208098477215,19.9824342824507,21.3646762681336,22.0187367423336,22.3422628605917
29,2022-08-19,SPO,STA,11,19.5689696987325,19.0726200914189,19.515966961892,18.4763849970746,19.6593511342945,18.6154447801308,18.471550459171,19.5046708464227
0,2022-09-06,SPO,STA,23,22.9128509812825,27.0984747846265,27.7981570364896,23.0970293611955,25.6394129266818,23.0038847882833,23.0979341593757,27.8012746870284
1,2022-08-15,SPO,STA,4,28.4008521125113,25.2555009000106,24.4377469701487,27.1540053203979,25.9936394812846,27.4643081744332,27.1791080803086,24.3946094146613
2,2022-08-29,SPO,STA,16,27.2487978496262,25.4083078981914,25.426075600066,27.0129728884204,25.2485673003124,26.8332968845228,26.9849474864317,25.4733939547013
3,2022-08-25,SPO,STA,13,20.7635143262345,23.1590949380584,21.9558101814365,20.3645792940242,23.0004358204814,20.5167909430817,20.3353886103202,21.9937410338306
4,2022-08-19,SPO,STA,8,21.7103389016636,23.0221329405103,23.0872154502635,20.5112045989448,23.4389876493552,20.5912568803971,20.4933814656096,23.0944392021066
5,2022-09-03,SPO,STA,21,22.730327735342,23.6905053768191,24.4485985793594,24.9498364448876,22.209352291281,23.8138412334278,24.9298042271545,24.4663102923045
6,2022-08-16,SPO,STA,5,14.6087319143625,20.0017582766389,21.3322089871508,15.4340936581353,18.3273962609322,15.006900433459,15.4326207838704,21.3349252092298
7,2022-08-18,SPO,STA,7,18.0909819469679,18.6729807965369,17.5708978889738,17.1531132548473,19.2605386625797,17.735213997784,17.1375357951497,17.5920135981363
8,2022-08-22,SPO,STA,10,30.1266933263626,32.7798078032372,31.8201799229669,29.5254295299235,32.9089101852492,29.7125241848372,29.4995501116768,31.8669702455848
9,2022-09-14,SPO,STA,30,26.8553372470773,26.9211743070755,26.6691387572474,26.1336145252798,27.2181194664082,26.8156876708735,26.1170250296097,26.6996172695627
